Cities,Latitudes,Longitudes,Max Temps,Humidity,Cloudiness,Wind Speed
Kozmodemyansk,56.33,46.55,32,98,75,4.47
Krasnyy Chikoy,50.36,108.75,26.95,69,88,3.96
Kribi,2.94,9.91,78.61,88,88,5.41
Kumla,59.13,15.14,45,56,44,20.8
Kununurra,-15.77,128.74,78.8,88,44,6.93
Kupang,-10.16,123.6,82.12,93,32,10.78
Kuytun,54.34,101.51,26.59,81,64,5.08
Lafia,8.5,8.51,90.4,43,24,4.41
Laguna,27.52,-110.01,69.8,40,5,5.82
Laishevo,55.4,49.55,32,93,90,4.47
Lake City,38.03,-107.32,39.99,59,90,13.87
Lake Mary,28.76,-81.32,80.01,25,1,4.7
Lamesa,32.74,-101.95,70,22,1,11.41
Lanivtsi,49.87,26.08,35.59,63,0,4.41
Larreynaga,12.68,-86.57,89.14,37,0,8.88
Lebedinyy,58.52,125.52,17.68,89,88,2.73
Lebork,54.54,17.75,48,87,20,20.8
Leshukonskoye,64.9,45.76,33.07,73,92,12.8
Lesnoy,59.78,52.13,29.47,95,0,3.74
Letlhakeng,-24.1,25.03,78.34,38,0,11.68
Lewistown,40.39,-90.15,54,40,1,9.17
Lieksa,63.32,30.02,37.03,94,88,10
Liepaja,56.52,21.02,39.2,100,90,12.75
Lieto,60.5,22.46,37.4,86,0,8.05
Likasi,-10.99,26.74,68.62,91,48,7.99
Liku,-0.73,119.89,79.24,97,56,1.72
Lins,-21.67,-49.75,84.37,78,0,4.63
Linxia,35.6,103.21,21.73,80,8,2.17
Livingston,32.58,-88.19,71.01,28,1,4.7
Lodi,45.31,9.5,69.8,29,0,3.36
Lokosovo,61.13,74.84,30.46,93,88,5.41
Loksa,59.58,25.72,41,93,75,12.75
Longido,-2.73,36.7,73.12,48,8,11.01
Longyearbyen,78.22,15.63,21.2,67,20,16.11
Loukhi,66.08,33.04,35.95,81,56,11.01
Luancheng,37.88,114.65,39.2,38,0,4.47
Luau,-10.7,22.23,74.92,69,76,4.41
Luba,17.32,120.7,64.12,84,0,4.07
Lubango,-14.92,13.49,71.6,60,40,32.21
Lubao,14.94,120.6,80.6,74,75,2.24
Lukashin,40.19,44,46.4,71,88,1.12
Lulea,65.58,22.15,39.2,51,0,13.87
Lyuban,52.8,28,35.05,68,0,2.84
Maamba,-17.36,27.22,74.74,56,0,2.95
Madimba,4.42,9.93,84.2,83,75,3.36
Manggar,-2.88,108.27,76.54,100,12,3.29
Manhuacu,-20.26,-42.03,76.54,65,36,3.85
Mansa,23.43,72.66,75.37,32,0,7.43
Mao,19.55,-71.08,91,45,40,16.11
Mapiri,-15.31,-68.22,57.37,98,88,3.06
Mapiripan,2.89,-72.13,83.02,100,44,4.29
Marathon,48.72,-86.38,33.8,74,75,6.93
Marigot,18.23,-72.32,87.8,52,20,11.41
Masaka,-0.34,31.75,72.67,95,0,2.06
Masakin,15.32,47.68,77.62,35,0,5.97
Masuda,34.68,131.85,42.8,70,20,4.7
Masyaf,35.06,36.34,57.2,87,40,4.7
Maun,-19.99,23.42,86,37,0,4.7
Mayo,63.59,-135.9,42.8,56,75,11.41
Mayor Pablo Lagerenza,-19.93,-60.77,86.98,79,20,4.63
Mazagao,-0.12,-51.29,80.6,100,75,11.41
Mazyr,52.05,29.27,36.04,70,0,5.53
Memari,23.17,88.11,77,61,0,6.98
Mhlume,-26.03,31.81,71.01,94,92,1.12
Mimongo,-1.62,11.6,70.42,97,92,2.39
Miri,10.31,9.75,89.05,21,12,8.43
Missoula,46.87,-114,45,80,90,2.51
Moa,20.66,-74.95,77.98,75,44,3.74
Mogapinyana,-22.37,27.59,77,53,0,13.47
Mokobeng,-23,27.67,77.17,49,0,10.78
Molokovo,58.16,36.77,31.45,93,20,10
Montrose,-37.81,145.34,66.99,82,75,5.82
Mooresville,39.61,-86.37,52,28,1,4.41
Moramanga,-18.95,48.23,65.56,100,92,2.73
Moron,10.49,-68.2,87.25,50,0,4.63
Morrope,-6.54,-80.02,66.2,29,20,18.34
Morros,-2.87,-44.04,80.6,88,75,4.7
Morshyn,49.15,23.87,42.8,26,0,4.47
Moses Lake,47.13,-119.28,55.4,54,1,4.29
Moth,25.73,78.95,65.65,40,0,2.84
Moultrie,31.18,-83.79,73,53,1,6.98
Moyale,3.52,39.05,78.7,31,0,9.22
Mpraeso,6.6,-0.73,75.55,87,88,4.63
Mudanjiang,44.58,129.6,12.19,64,0,4.52
Mulchen,-37.72,-72.23,77,47,20,17.22
Mutsu,41.29,141.2,26.01,59,68,3
Muzambinho,-21.37,-46.52,75.2,78,40,5.82
Mweka,-4.85,21.56,72.22,96,80,3.06
Nago,45.88,10.89,69.8,45,5,1.12
Nagua,19.37,-69.85,82.4,83,40,20.8
Nakhon Phanom,17.4,104.79,74.38,70,12,6.64
Nanortalik,60.14,-45.24,23.17,100,24,17.72
Nanyamba,-10.69,39.81,80.6,88,20,5.41
Narrabri,-30.33,149.78,77,57,75,12.75
Naujamiestis,55.69,24.15,50,76,90,11.41
Navoloki,57.47,41.96,25.15,80,0,2.39
Negrar,45.53,10.94,69.8,45,5,1.12
Neverkino,52.79,46.74,32.26,97,92,12.01
Nicolas Bravo,24.39,-104.74,66,20,5,4.7
Nioro,13.79,-15.05,87.97,39,64,3.74
Nipawin,53.36,-104.02,41,89,1,10.29
Niquero,20.04,-77.58,80.59,91,0,6.87
Nizhniy Baskunchak,48.22,46.83,37.84,67,92,5.53
Nizhnyaya Maktama,54.86,52.43,25.69,94,0,2.62
Nizwa,22.93,57.53,65.56,66,44,0.6
Nkhata Bay,-11.61,34.3,73.84,99,88,3.96
Nouakchott,18.08,-15.98,71.6,64,0,20.8
Nova Prata,-28.78,-51.61,79,52,0,3
Novopokrovka,45.85,134.51,1.84,57,0,3.06
Novopskov,49.54,39.1,33.25,94,92,15.7
Novyy Starodub,48.52,33.17,39.2,60,90,13.42
Nsanje,-16.92,35.26,73.66,98,92,5.41
Nuevo Progreso,26.05,-97.95,81,65,90,18.34
Nurpur,32.3,75.88,58.9,70,36,3.74
Nyzhni Sirohozy,46.85,34.38,40.45,63,76,12.91
Nzega,-4.22,33.19,64.84,96,48,3.51
Ocampo,13.56,123.37,73.93,95,0,8.99
Okhotsk,59.36,143.24,21.19,86,88,7.2
Omboue,-1.57,9.26,79.69,100,80,10.22
Omsukchan,62.53,155.8,-13.02,36,0,2.51
Oppdal,62.6,9.69,22.9,76,48,12.01
Oregon,42.01,-89.33,51.01,45,20,11.41
Oriximina,-1.77,-55.87,82.57,80,88,4.41
Oromocto,45.85,-66.47,39.2,80,90,13.87
Oster,50.95,30.88,41,69,0,4.47
Osypenko,48.04,34.39,37.4,69,0,15.66
Ouesso,1.61,16.05,80.14,85,0,1.39
Oum Hadjer,13.3,19.7,89.14,45,56,2.95
Palafrugell,41.92,3.16,66,39,0,6.93
Palmer,-34.85,139.16,70,82,75,4.7
Pandrup,57.21,9.68,45,77,0,15.01
Pangkalanbuun,-2.68,111.62,73.57,89,36,3.18
Pangnirtung,66.15,-65.72,1.4,64,90,23.04
Panzhihua,26.59,101.72,59.8,46,12,6.53
Paragominas,-3,-47.35,83.29,84,68,5.41
Parati,-20.51,-54.63,86,51,75,4.7
Parintins,-2.63,-56.73,85.27,79,68,4.18
Parnarama,-5.68,-43.09,84.55,71,92,2.95
Patea,-39.76,174.48,57.99,99,0,1.99
Pechora,65.12,57.16,25.42,83,32,9.22
Peleduy,59.63,112.75,11.56,60,44,7.99
Pemba,-12.97,40.52,85.54,97,32,10.45
Pensilvania,5.38,-75.16,74.65,79,64,2.62
Pimenta Bueno,-11.68,-61.19,80.77,94,76,2.39
Pingliang,35.54,106.68,26.14,65,0,3.18
Piracanjuba,-17.3,-49.02,84.37,70,20,6.2
Pitea,65.32,21.48,39.99,51,0,13.87
Plattsburgh,44.69,-73.46,35.6,51,75,6.93
Plouzane,48.38,-4.62,59,71,0,12.75
Pokrovsk,48.28,37.18,36.58,80,36,13.47
Polunochnoye,60.87,60.43,22.27,79,0,5.64
Pondicherry,-34.04,18.35,72,82,0,9.17
Pontes E Lacerda,-15.23,-59.33,85.72,80,20,5.3
Popondetta,-8.77,148.24,68.35,95,92,1.95
Porosozero,62.72,32.71,34.69,85,92,11.23
Port Jervis,41.38,-74.69,46,41,1,9.17
Port Keats,-14.25,129.55,87.07,78,76,16.82
Port Pirie,-33.18,138.01,64.4,93,92,7.2
Poso,-1.4,120.75,78.52,100,56,1.16
Presidente Epitacio,-21.76,-52.12,88.24,59,0,5.19
Price,39.6,-110.81,48.99,70,20,3.36
Pudozh,61.81,36.54,33.43,94,88,19.51
Pueblo,38.25,-104.61,59,57,1,9.17
Puerto Baquerizo Moreno,-0.9,-89.6,84.2,79,75,5.82
Puerto Narino,-3.77,-70.38,82.4,88,75,8.05
Puerto Penasco,31.32,-113.53,64,81,0,7
Qaracala,39.81,48.95,49.09,91,0,11.01
Qesarya,32.52,34.9,64.4,77,75,3.36
Qingdao,36.09,120.35,33.8,64,0,2.24
Qinhuangdao,39.94,119.59,31.9,34,0,7.31
Qom,34.64,50.88,50.35,58,68,2.39
Qostanay,53.17,63.58,30.2,92,8,6.71
Queanbeyan,-35.35,149.23,62.01,87,40,5.08
Queimadas,-7.36,-35.9,89.6,49,40,16.11
Radishchevo,52.85,47.87,32.71,96,92,10.89
Rafaela,-31.25,-61.49,82.99,35,0,4
Rajka,48,17.2,61,54,0,2.24
Ramos Arizpe,25.54,-100.95,77,57,5,5.82
Rawlins,41.79,-107.24,37,74,90,17.22
Reconquista,-29.14,-59.64,78.52,74,0,4.18
Red Bluff,40.18,-122.24,55.99,81,75,8.05
Redwood City,37.49,-122.23,60.01,67,20,10.29
Reftinskiy,57.09,61.68,26.6,92,0,2.24
Ribeira Brava,32.65,-17.07,64.4,55,20,9.17
Riberalta,-11,-66.08,81.22,83,80,2.28
Riohacha,11.54,-72.91,84.2,66,20,11.41
Riverside,33.95,-117.4,63,71,90,3.36
Riyadh,24.63,46.72,77,29,0,8.05
Rizhao,35.43,119.46,33.07,69,0,6.08
Road Town,18.42,-64.62,84.2,58,40,11.41
Roald,62.58,6.12,41,65,75,27.51
Rognan,67.1,15.4,39.2,80,75,39.15
Rojhan,28.69,69.95,69.97,60,0,12.01
Roma,41.89,12.48,64.4,59,0,3.36
Rudnya,50.8,44.56,23.17,75,64,3.96
Sabha,27.03,14.43,63.4,42,0,6.2
Sabinas,27.85,-101.13,75.55,64,0,4.41
Safakulevo,54.99,62.54,17.5,63,24,2.73
Sahawar,27.8,78.85,74.47,34,0,11.23
Saiha,22.49,92.98,64.39,91,0,1.61
Saint Anthony,43.97,-111.68,43,100,90,4.18
Saint-Augustin,44.83,-0.61,69.8,28,0,9.17
Sakaiminato,35.55,133.23,39.2,80,75,8.05
Sal Rei,16.18,-22.92,77,53,20,18.34
Salamiyah,35.01,37.05,48.82,88,44,2.51
Salihorsk,52.79,27.54,35.32,67,0,2.95
Sambava,-14.27,50.17,83.02,100,32,16.15
San Antonio,-33.58,-71.61,64.4,82,20,8.05
San Francisco,37.78,-122.42,59,67,20,8.05
San Javier,37.81,-0.83,60.8,82,0,10.29
San Joaquin,10.59,122.14,77.08,77,68,12.12
San Juan,14.6,121.03,80.6,69,40,9.17
San Rafael,-34.61,-68.33,76.63,24,0,11.01
Sangin,32.07,64.85,53.05,71,80,3.29
Santa Cruz Do Rio Pardo,-22.91,-49.63,84.19,68,0,3.18
